cardinal,birth_passage,century,source
"(39) 13. PRIULI, Luigi (1650-1720)","Birth. September 15, 1650, Venice. Of a senatorial family of the branh of S. Barnaba. Second of the eight children of Marcantonio Priuli and Elena Basadonna. The other siblings were Danielle, Zaccaria, Angelo Maria, Pietro (a senator), Girolamo (killed in war in 1690), Giustiniana and Giovanni (a procurator and ambassador to Vienna). His first name is also listed as Alvise. Nephew of Cardinal Pietro Basadonna (1673), on his mother's side. Other cardinals of the family were Lorenzo Priuli (1596); Matteo Priuli (1616); Pietro Priuli (1706); Antonio Marino Priuli (1758).Education. (No information found).",eighteenth_century,fiu_scrape
"(17) 5. MACHET, Gérard (1380-1448)","Birth. 1380, Blois, France. His first name is also listed as Girard and as Jean.Education. He was a student of Gerson, an illustrious professor. Studied humanities, philosophy and theology at Collège de Navarre; obtained a doctorate in sacred science (theology) in 1411.",fifteenth_century,fiu_scrape
"(36) 13. VISCONTI, Carlo (1523-1565)","Birth. 1523, Milan. Of a distinguished family. Other members of the family were Pseudocardinal Bartolomeo Aicardi Visconti (1440); and Cardinals Alfonso Visconti (1599); and Antonio Eugenio Visconti (1771).Education. Chiaro ugualmente per dottrina che prudenza (1). (No further educational information found).",sixteenth_century,fiu_scrape
"(9) 4. DU PRAT, Antoine (1463-1535)","Birth. January 17, 1463, Issoire, France. Son of Antoine du Prat, consul of Issoire, and Jaqueline Bohier (or Boyer). His last name is also listed as Duprat. Cousin of Cardinal Antoine Bohier du Prat, O.S.B. (1517).Education. When he was ten years old, he was sent to study at a Benedictine abbey near Issoire and there, he combined the study of the first elements of science with the more gentle exercises of piety; later, his father sent him to study at one of the most prestigious European universities.",sixteenth_century,fiu_scrape
"(13) 13. CORDERO LANZA DI MONTEZEMOLO, Andrea","Birth. August 27, 1925, Turin, Italy. Of a noble family. His father was the famous Colonel Giuseppe Cordero Lanza di Montezemolo (1). He is related to Luca di Montezemolo, president of Ferrari and chairman of Fabbrica Italiana Automobili Torino (FIAT).Education. Initial studies in Turin; obtained a bachelor's degree in Rome. During the Second World War, he was enlisted as a voluntary in in the ""Montezemolo Battallion"", named after his father. After the war, he obtained a doctorate in architecture in 1949; he exercised the profession for several years and at the same time taught as assistant professor at the university. During those years, he matured the vocation to the ecclesiastical life and he started his studies as a lay student at the Pontifical Gregorian University; and later as a seminarian at Collegio Capranica; he obtained licentiates in philosophy and theology; he also studied at the Pontifical Ecclesiastical Academy, the Vatican's diplomatic school, 1957-1959; obtained a doctorate in canon law at the Pontifical Lateran University.",twenty_first_century,fiu_scrape
"(5) 3. SIMONETA, Giacomo (1475-1539)","Birth. 1475, Milan. Son of Giovanni Simoneta and his second wife Catarina Barbavara. He had two brothers, Alessandro and Francesco. His last name is also listed as Simonetta. Uncle of Cardinal Ludovico Simoneta (1561).Education. He studied law under the guidance of Alessandro Tartagni, Bartolomeo Socino and Giason del Maino in Padua and Pavia and, although he did not receive his degree, it was at the Ticino University that he received his doctorate in utroque iure, both canon and civil law, before 1498, the year in which he appears among the noble Milanese jurisconsults.",sixteenth_century,fiu_scrape
"(16) 16. ZOUNGRANA, M.Afr., Paul","Birth. September 3, 1917, Ouagadougou, Upper Volta (now Burkina Faso). He was the eldest of eight children, seven boys and one girl.Education. At a young age he entered the primary school in Ouagadougou, conducted by the White Sisters; in 1926, he entred the the newly opened Minor Seminary of Pabré; in 1935, he attended the Seminary of Kuomi; later, studied at the Pontifical Gregorian University, Rome; and finally, studied at the Catholic Institute, Paris.",twentieth_century,fiu_scrape
"(59) 4. SOLÍS FOLCH DE CARDONA, Francisco de (1713-1775)","Birth. February 16, 1713, Salamanca (or Madrid), Spain. Son of José Solís y Gante, marquis of Castelnovo, count of Saldueña and third duke of Montellano, and Josefa Folch de Cardona, marchioness of Castelnovo y Pons. His father was one of the original members of the Real Academia Española, founded in 1713. His brother José Solís Folch de Cardona was viceroy of Nueva Granada (future Colombia); and later entered the Order of the Friars Minor (Franciscans). Because of the influence that his family enjoyed in the court, he obtained the title of baron of Santa María de Aracena.Education. He was educated at home with the best teachers, profiting in all sciences; his parents provided him with all the means to cultivate his rare talent and intelligence in the pursuit of his ecclesiastical career; at eighteen, he suffered a grave illness which caused him to lose his left eye; he had a glass eye placed in its stead (1).",eighteenth_century,fiu_scrape
"(60) 6. MIRANDA Y GOMEZ, Miguel Darío","Birth. December 19, 1895, León, México. Son of Cirpriano Miranda and María de las Nieves Gómez.Education. Seminary of León, León; Pontifical Gregorian University, Rome.",twentieth_century,fiu_scrape
"(9) 6. FIESCHI, Giorgio (At the end of the 14th century-1461)","Birth. At the end of the 14th century, Genoa. Of the counts of Lavagna. Son of Ettore Fieschi, signore of Savignone, and Bartolomea Fieschi, from Canneto. Uncle of Cardinal Niccolò Fieschi (1503). The family gave the Church Popes Innocent IV and Adrian V; and Cardinals Guglielmo Fieschi (1244); Luca Fieschi (1300); Giovanni Fieschi (1378); Ludovico Fieschi (1384); Lorenzo Fieschi (1706); and Adriano Fieschi (1834).Education. He studied canon and civil law at the Studium of Bologna; in 1428, he obtained a licentiate ""in decretis cuni rigore examinis"".",fifteenth_century,fiu_scrape
