cardinal,total_sibs,birth_order,source
"RICCARDI, Davide",8,3,fiu_scrape
"(7) 4. PACCA, seniore, Bartolomeo (1756-1844)",,,
"(48) 11. ARGENVILLIERS, Clemente (1687-1758)","","",fiu_scrape
"(11) 3. ANSIDEI, Marco Antonio (1671-1730)","","",fiu_scrape
"(12) 8. BORGHESE, Camillo (1552-1621)","","",fiu_scrape
"(20) 11. CAETANI, Niccolò (1526-1585)","","",fiu_scrape
"(27) 12. BAGNASCO, Angelo",2,2,
"(46) 12. SPINELLI, Ferdinando (1728-1795)",9,1,fiu_scrape
"(9) 4. PALLAVICINO, Lazzaro (1603?-1680)",22,"",fiu_scrape
"(63) 6. GRIMALDI-CAVALLERONI, Girolamo (1595-1685)","","",fiu_scrape
"(33) 2. FINOCCHIETTI, Raniero (1715-1793)",4,4,fiu_scrape
"(86) 13. VAUGHAN, Herbert",13,1,
"(5) 5. BARBO, Marco (1420-1491)",3,1,fiu_scrape
"(20) 3. SINZENDORF, Philip Ludwig von (1699-1747)",5,2,fiu_scrape
"(2) 1. CAETANI, Enrico (1550-1599)","",2,fiu_scrape
"(4) 4. ORSINI, iuniore, Giordano (1360s-1438)",>1,>1,fiu_scrape
"(26) 5. LIPSKI, Jan Aleksander (1690-1746)",5,"",fiu_scrape
"(38) 8. GONZAGA, Vincenzo (1594-1627)",6,5,fiu_scrape
"(7) 2. AMMANNATI, Bonifacio (?-1399)",>1,"",fiu_scrape
"(13) 3. FERRIS, Pedro (1415/1416-1478)","","",fiu_scrape
"(58) 1. PANCIROLI, Giovanni Giacomo (1587-1651)","","",fiu_scrape
"(26) 10. KOLLONITSCH, Leopold Karl von (1631-1707)","","",fiu_scrape
"(81) 27. ODDI, Silvio",14,12,
"(50) 13. CHIGI, iuniore, Flavio (1711-1771)",4,3,fiu_scrape
"(10) 10. DZIWISZ, Stanisław",7,,
"(27) 2. MIGAZZI, Christoph Anton von (1714-1803)","","",fiu_scrape
"(9) 9. LANGLEY, Thomas (1363-1437)",>3,>3,fiu_scrape
"(18) 4. CASTRO OSORIO, Rodrigo de (1523-1600)","",11,fiu_scrape
"(222) 21. BOZANIĆ, Josip",>1,,
"(14) 13. PARACCIANI, Giandomenico (1646-1721)",3,3,fiu_scrape
"(70) 8. ZUPPI, Matteo Maria",6,5,fiu_scrape
"(23) 20. CASELLI, O.S.M., Carlo Francesco (1740-1828)",8,6,
"(27) 9. RASPONI, Cesare Maria Antonio (1615-1675)","","",fiu_scrape
"(12) 9. VALENTI, Ludovico (1695-1763)",3,1,fiu_scrape
"(34) 11. PASQUA, Simone (1492-1565)",>1,"",fiu_scrape
"(21) 3. ACCOLTI, Pietro (1455-1532)",8,4,fiu_scrape
"(32) 2. GUISE, Louis III de (1575-1621)",14,3,fiu_scrape
"(5) 5. TOSI, O.Ss.C.A., Eugenio",9,9,
"(7) 2. DORIA, Sinibaldo (1664-1733)",6,2,fiu_scrape
"(31) 1. VENDRAMINO, Francesco (1555-1618)",3,2,fiu_scrape
"(9) 9. HERGENRÖTHER, Joseph",8,2,
"(24) 4. LOMELLINI, Giovanni Girolamo (1607-1659)",>2,"",fiu_scrape
"(7) 2. CERVANTES DE GAETE, Gaspar (1511-1575)","","",fiu_scrape
"(12) 9. SALVIATI, O. S. Io.Hier., Bernardo (1508-1568)",11,8,fiu_scrape
"(49) 4. RAGGI, Ottaviano (1592-1643)","","",fiu_scrape
"(25) 7. ROHAN-GUÉMÉNÉE, Louis-René-Édouard de (1734-1803)",7,3,fiu_scrape
"(73) 12. OBESO RIVERA, Sergio",9,6,fiu_scrape
"(56) 1. DUSMET, O.S.B.Cas., Giuseppe Benedetto",6,1,
"(23) 5. LITTA, Alfonso (1608-1679)","",2,fiu_scrape
"SIESTRZEŃCEWICZ-BOHUSZ, Stanisław Jan (1731-1826)","","",fiu_scrape
(1626-1689),3,2,fiu_scrape
"(22) 3. BÉRULLE, Orat., Pierre (1575-1629)","","",fiu_scrape
"(1) 1. BAYERN, Johann Theodor von (1703-1763)",9,8,fiu_scrape
(1504-1577),3,"",fiu_scrape
"(8) 8. CHEONG JIN-SUK, Nicholas",6,3,fiu_scrape
"(11) 8. AMULIO, Marco Antonio (1506-1572)",7,2,fiu_scrape
"(26) 12. SPINOLA, Filippo (1535-1593)",6,3,fiu_scrape
"(10) 6. SFORZA, Federico (1603-1676)","","",fiu_scrape
"(215) 14. O'BRIEN, Keith Michael Patrick",2,1,
"(150) 13. SCHÖNBORN, O.P., Christoph",,2,https://en.wikipedia.org/wiki/Christoph_Sch%C3%B6nborn
"(50) 11. AGUIAR RETES, Carlos",6,2,fiu_scrape
(1630-1719),10,3,fiu_scrape
"(103) 15. MARTÍNEZ FLORES, Adalberto",4,2,fiu_scrape
"(54) 3. NUZZI, Ferdinando (1645-1717)",6,3,fiu_scrape
"(128) 21. PULJIĆ, Vinko",13,12,
"(12) 4. ROSARIO, Virgilio (1499-1559)","",3,fiu_scrape
"(35) 12. ORSINI, Flavio (1532-1581)","",2,fiu_scrape
"(10) 4. ALBRET, Louis d' (1422-1465)",>1,>1,fiu_scrape
"(31) 8. BOBBA, Marcantonio (beginning of 16th century-1575)","",1,fiu_scrape
"(18) 6. MALESTROIT, Jean de (1375-1443)","",>5,fiu_scrape
"(68) 14. ENRIQUE Y TARANCÓN, Vicente",3,2,
"(7) 4. PICCOLOMINI, Enea Silvio (1405-1464)",21,"",fiu_scrape
"(50) 3. CUEVA Y TOLEDO, Bartolomé de la (1499-1562)","","",fiu_scrape
"(17) 3. MEDICI, Alessandro Ottaviano de' (1535-1605)","","",fiu_scrape
"(22) 1. ALMEIDA, Tomás de (1670-1754)","",9,fiu_scrape
"(3) 3. BRANCACCIO, Stefano (1618-1682)","","",fiu_scrape
"(6) 6. VERME, Taddeo Luigi dal (1641-1717)","","",fiu_scrape
"(20) 2. LAVIGERIE, M.Afr., Charles-Martial-Allemand",4,1,
"(57) 2. ARCHINTO, Alberico (1698-1758)",11,5,fiu_scrape
"(9) 1. ZENO, Giovanni Battista (ca. 1439-1440-1501)",>1,"",fiu_scrape
"(64) 1. CAPRARA, Giovanni Battista (1733-1810)",8,6,fiu_scrape
"(1) 1. MORIGIA, B., Giacomo Antonio (1633-1708)",8,7,fiu_scrape
"(39) 9. SAVELLI, Giulio (1574-1644)","","",fiu_scrape
"(8) 7. RUFFO, Tommaso (1663-1753)","","",fiu_scrape
"(129) 12. DELLA VOLPE, Francesco Salesio",9,,
"(4) 1. LA TOUR D'AUVERGNE DE BOUILLON, Emmanuel Théodose de (1643-1715)","",>2,fiu_scrape
"(25) 2. COLONNA, seniore, Marco Antonio (1523-1597)",6,2,fiu_scrape
"(5) 4. MILLINI, Giovanni Garzia (1562-1629)","","",fiu_scrape
"(3) 2. BADOARO, Gianalberto (1649-1714)","","",fiu_scrape
"(3) 3. CECCHINI, Domenico (1589-1656)","","",fiu_scrape
"(9) 5. CORNARO, iuniore, Francesco (1547-1598)","","",fiu_scrape
"(2) 2. PIGNATELLI, Antonio (1615-1700)",5,4,fiu_scrape
"(5) 4. ALDOBRANDINI, iuniore, Ippolito (1596-1638)","","",fiu_scrape
"(21) 18. CORREGGIO, Girolamo di (1511-1572)",4,4,fiu_scrape
"(20) 19. PRIULI, Pietro (1669-1728)",7,6,fiu_scrape
"CARVALHO DE MENDOÇA, Paulo de (1702-1770)",12,4,fiu_scrape
"(31) 11. IMPERIALI, Lorenzo (1612-1673)","","",fiu_scrape
"(24) 3. LAMBERG, Joseph Dominicus von (1680-1761)","","",fiu_scrape
"(23) 3. SANTACROCE, Andrea (1655-1712)","","",fiu_scrape
"(63) 1. AYUSO GUIXOT, M.C.C.J., Miguel Ángel",9,5,fiu_scrape
"(22) 19. DI PIETRO, Michele (1747-1821)",4,,
"(24) 1. CARAFA, iuniore, Pierluigi (1677-1755)",7,6,fiu_scrape
"(77) 23. HÖFFNER, Joseph",,1,
"(165) 6. SARAIVA MARTINS, C.M.F., José",8,6,
"(134) 4. SKRBENSKÝ Z HRISTE, Lev",4,2,
"(11) 1. ACQUAVIVA D'ARAGONA, Troiano (1694-1747)","","",fiu_scrape
"(23) 8. GARCÍA-GASCO VICENTE, Agustín","","",fiu_scrape
"(42) 8. DE GREGORIO, Giovanni (1729-1791)",3,3,fiu_scrape
"(11) 1. FIRMIAN, Leopold Ernest von (1708-1783)",>2,1,fiu_scrape
"(47) 2. FILOMARINO, Ascanio (1583-1666)",5,1,fiu_scrape
"(1) 1. SFORZA, Ascanio Maria (1455-1505)",8,6,fiu_scrape
"(30) 5. HUTTEN, Franz Christoph von (1706-1770)","",2,fiu_scrape
"(47) 13. DORIA PAMPHILJ, Antonio Maria (1749-1821)",>1,"",fiu_scrape
"(22) 3. SOURAPHIEL, C.M., Berhane-Yesus Demerew",8,"",fiu_scrape
"(1) 1. CARAFA, Carlo (1517 or 1519-1561)",>2,>2,fiu_scrape
"(5) 2. BABOU DE LA BOURDAISIÈRE, Philibert (1513-1570)","","",fiu_scrape
"(7) 7. CICOGNANI, Amleto Giovanni",2,2,
